symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	curation_confidence	pathway_depth_rank	pathway_depth_scaled	is_upstream_core	is_checkpoint_layer	is_downstream_diversification	is_substrate_support	checkpoint_proximity	ost_or_lbo_core_member	er_quality_control_member	catastrophic_potential_prior	branching_role	terminal_modification_role	interface_layer_prior	glycan_output_layer	regulatory_or_trans_layer_candidate	has_paralog_family	paralog_family_name	redundancy_prior	low_specificity_terminal_enzyme	graph_in_degree_primary_reaction	graph_out_degree_primary_reaction	graph_total_degree_primary_reaction	graph_betweenness_primary_reaction	graph_closeness_primary_reaction	graph_component_id_primary_reaction	architecture_version	architecture_notes
MLEC	ENSG00000110917	er_quality_control	checkpoint_layer	yes	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	2	0	2	0.0	0.05556122448979592	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
NGLY1	ENSG00000151092	er_quality_control	checkpoint_layer	no	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	0	0	0	0.0	0.0	primary_reaction_component_33	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
ENGASE	ENSG00000167280	er_quality_control	checkpoint_layer	no	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	0	0	0	0.0	0.0	primary_reaction_component_34	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
OS9	ENSG00000135506	er_quality_control	checkpoint_layer	no	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	0	0	0	0.0	0.0	primary_reaction_component_35	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
SEL1L	ENSG00000071537	er_quality_control	checkpoint_layer	no	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	0	0	0	0.0	0.0	primary_reaction_component_36	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
MAN1A1	ENSG00000111885	golgi_core_processing	downstream_diversification	yes	yes	high	5	0.6667	no	no	yes	no	distant	no	no	moderate	not_branching	no	moderate	yes	no	yes	MAN1	moderate	no	1	1	2	0.028619528619528625	0.0502608695652174	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MAN1 paralog-family prior from symbol prefix
MAN1A2	ENSG00000198162	golgi_core_processing	downstream_diversification	yes	yes	high	5	0.6667	no	no	yes	no	distant	no	no	moderate	not_branching	no	moderate	yes	no	yes	MAN1	moderate	no	1	1	2	0.028619528619528625	0.0502608695652174	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MAN1 paralog-family prior from symbol prefix
MAN1C1	ENSG00000117643	golgi_core_processing	downstream_diversification	yes	yes	high	5	0.6667	no	no	yes	no	distant	no	no	moderate	not_branching	no	moderate	yes	no	yes	MAN1	moderate	no	1	1	2	0.028619528619528625	0.0502608695652174	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MAN1 paralog-family prior from symbol prefix
MGAT1	ENSG00000131446	golgi_core_processing	downstream_diversification	yes	yes	high	5	0.6667	no	no	yes	no	distant	no	no	moderate	not_branching	no	moderate	yes	no	yes	MGAT	moderate	no	3	2	5	0.08969696969696969	0.05127340823970038	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MGAT paralog-family prior from symbol prefix
MAN2A1	ENSG00000112893	golgi_core_processing	downstream_diversification	yes	yes	high	5	0.6667	no	no	yes	no	distant	no	no	moderate	not_branching	no	moderate	yes	no	yes	MAN2	moderate	no	1	1	2	0.042222222222222223	0.04734426229508197	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MAN2 paralog-family prior from symbol prefix
MAN2A2	ENSG00000196547	golgi_core_processing	downstream_diversification	yes	yes	high	5	0.6667	no	no	yes	no	distant	no	no	moderate	not_branching	no	moderate	yes	no	yes	MAN2	moderate	no	1	1	2	0.042222222222222223	0.04734426229508197	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MAN2 paralog-family prior from symbol prefix
MGAT2	ENSG00000168282	golgi_core_processing	downstream_diversification	yes	yes	high	5	0.6667	no	no	yes	no	distant	no	no	moderate	not_branching	no	moderate	yes	no	yes	MGAT	moderate	no	2	6	8	0.08484848484848485	0.0463768115942029	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MGAT paralog-family prior from symbol prefix
MGAT3	ENSG00000128268	golgi_branching	downstream_diversification	yes	yes	high	6	0.8333	no	no	yes	no	distant	no	no	low	branch_initiation	no	moderate	yes	no	yes	MGAT	high	no	1	7	8	0.012424242424242424	0.04354922279792746	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MGAT paralog-family prior from symbol prefix
MGAT4A	ENSG00000071073	golgi_branching	downstream_diversification	yes	yes	high	6	0.8333	no	no	yes	no	distant	no	no	low	branch_initiation	no	moderate	yes	no	yes	MGAT	high	no	1	7	8	0.012424242424242424	0.04354922279792746	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MGAT paralog-family prior from symbol prefix
MGAT4B	ENSG00000284501	golgi_branching	downstream_diversification	yes	yes	high	6	0.8333	no	no	yes	no	distant	no	no	low	branch_initiation	no	moderate	yes	no	yes	MGAT	high	no	1	7	8	0.012424242424242424	0.04354922279792746	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MGAT paralog-family prior from symbol prefix
MGAT4C	ENSG00000182050	golgi_branching	downstream_diversification	yes	yes	medium	6	0.8333	no	no	yes	no	distant	no	no	low	branch_initiation	no	moderate	yes	no	yes	MGAT	high	no	1	7	8	0.012424242424242424	0.04354922279792746	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; assigned MGAT paralog-family prior from symbol prefix
MGAT5	ENSG00000152127	golgi_branching	downstream_diversification	yes	yes	high	6	0.8333	no	no	yes	no	distant	no	no	low	branch_initiation	no	moderate	yes	no	yes	MGAT	high	no	1	7	8	0.012424242424242424	0.04354922279792746	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MGAT paralog-family prior from symbol prefix
FUT8	ENSG00000033170	terminal_modification	downstream_diversification	yes	yes	high	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	FUT	high	yes	6	0	6	0.0	0.054117647058823534	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	terminal-modification specificity should be tested in sensitivity analyses; assigned FUT paralog-family prior from symbol prefix
FUT3	ENSG00000171124	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	FUT	high	yes	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses; assigned FUT paralog-family prior from symbol prefix
B4GALT1	ENSG00000086062	terminal_modification	downstream_diversification	yes	yes	high	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	B4GALT	high	yes	5	9	14	0.0069696969696969695	0.04898148148148149	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	terminal-modification specificity should be tested in sensitivity analyses; assigned B4GALT paralog-family prior from symbol prefix
B4GALT2	ENSG00000117411	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	B4GALT	high	yes	5	9	14	0.0069696969696969695	0.04898148148148149	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses; assigned B4GALT paralog-family prior from symbol prefix
B4GALT3	ENSG00000158850	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	B4GALT	high	yes	5	9	14	0.0069696969696969695	0.04898148148148149	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses; assigned B4GALT paralog-family prior from symbol prefix
B4GALT4	ENSG00000121578	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	B4GALT	high	yes	5	9	14	0.0069696969696969695	0.04898148148148149	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses; assigned B4GALT paralog-family prior from symbol prefix
B4GALT5	ENSG00000158470	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	B4GALT	high	yes	5	9	14	0.0069696969696969695	0.04898148148148149	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses; assigned B4GALT paralog-family prior from symbol prefix
B4GALT6	ENSG00000118276	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	B4GALT	high	yes	5	9	14	0.0069696969696969695	0.04898148148148149	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses; assigned B4GALT paralog-family prior from symbol prefix
ST3GAL4	ENSG00000110080	terminal_modification	downstream_diversification	yes	yes	high	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	ST3GAL	high	yes	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	terminal-modification specificity should be tested in sensitivity analyses; assigned ST3GAL paralog-family prior from symbol prefix
ST6GAL1	ENSG00000073849	terminal_modification	downstream_diversification	yes	yes	high	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	yes	ST6GAL	high	yes	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	terminal-modification specificity should be tested in sensitivity analyses; assigned ST6GAL paralog-family prior from symbol prefix
ST8SIA2	ENSG00000140557	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	no		unknown	no	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses
ST8SIA3	ENSG00000177511	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	no		unknown	no	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses
ST8SIA6	ENSG00000148488	terminal_modification	downstream_diversification	yes	yes	medium	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	no		unknown	no	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses
CHST8	ENSG00000124302	terminal_modification	downstream_diversification	yes	yes	low	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	no		unknown	no	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	low-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses
CHST10	ENSG00000115526	terminal_modification	downstream_diversification	yes	yes	low	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	no		unknown	no	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	low-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses
B4GALNT2	ENSG00000167080	terminal_modification	downstream_diversification	yes	yes	low	7	1.0	no	no	yes	no	distant	no	no	low	branch_extension	yes	high	yes	no	no		unknown	no	6	0	6	0.0	0.05586776859504133	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	low-confidence pathway label pending cross-check; terminal-modification specificity should be tested in sensitivity analyses
