symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	curation_confidence	pathway_depth_rank	pathway_depth_scaled	is_upstream_core	is_checkpoint_layer	is_downstream_diversification	is_substrate_support	checkpoint_proximity	ost_or_lbo_core_member	er_quality_control_member	catastrophic_potential_prior	branching_role	terminal_modification_role	interface_layer_prior	glycan_output_layer	regulatory_or_trans_layer_candidate	has_paralog_family	paralog_family_name	redundancy_prior	low_specificity_terminal_enzyme	graph_in_degree_primary_reaction	graph_out_degree_primary_reaction	graph_total_degree_primary_reaction	graph_betweenness_primary_reaction	graph_closeness_primary_reaction	graph_component_id_primary_reaction	architecture_version	architecture_notes
UAP1	ENSG00000117143	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_17	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
GFPT1	ENSG00000198380	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	GFPT	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_18	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned GFPT paralog-family prior from symbol prefix
GFPT2	ENSG00000131459	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	GFPT	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_19	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned GFPT paralog-family prior from symbol prefix
GNPNAT1	ENSG00000100522	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_20	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
NAGK	ENSG00000124357	substrate_biosynthesis	substrate_support	no	yes	low	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_21	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; low-confidence pathway label pending cross-check
GNE	ENSG00000159921	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_22	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
NANS	ENSG00000095380	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_23	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
NANP	ENSG00000170191	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_24	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
CMAS	ENSG00000111726	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_25	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
SLC35A1	ENSG00000164414	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	SLC35	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_26	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned SLC35 paralog-family prior from symbol prefix
GMDS	ENSG00000112699	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_27	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
FPGT	ENSG00000254685	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_28	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
FCSK	ENSG00000157353	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	no		unknown	no	0	0	0	0.0	0.0	primary_reaction_component_29	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check
SLC35C1	ENSG00000181830	substrate_biosynthesis	substrate_support	no	yes	medium	1	0.0	no	no	no	yes	not_applicable	no	no	unknown	unknown	no	unknown	no	no	yes	SLC35	moderate	no	0	0	0	0.0	0.0	primary_reaction_component_30	architecture_features_v0.1_2026-06-03	substrate-support gene; keep separate from primary upstream/downstream contrast; medium-confidence pathway label pending cross-check; assigned SLC35 paralog-family prior from symbol prefix
DPAGT1	ENSG00000172269	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG13	ENSG00000101901	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.0027272727272727275	0.01	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG14	ENSG00000172339	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.0027272727272727275	0.01	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG1	ENSG00000033011	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	2	1	3	0.01606060606060606	0.0225	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG2	ENSG00000119523	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.02101010101010101	0.02	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG11	ENSG00000253710	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.025757575757575757	0.019230769230769232	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
RFT1	ENSG00000163933	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	no		low	no	1	1	2	0.030303030303030304	0.01894736842105263	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
ALG3	ENSG00000214160	llo_assembly	upstream_core	yes	yes	high	2	0.1667	yes	no	no	no	distant	yes	no	high	not_branching	no	low	no	no	yes	ALG	low	no	1	1	2	0.03464646464646465	0.018846153846153846	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
