symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	cdg_curated_status	cdg_subtype	mendelian_disease_status	mode_of_inheritance	severe_mendelian_burden	clinvar_plp_variant_count	clinvar_plp_condition_count	clinvar_evidence_status	gwas_association_count	gwas_trait_category_count	glycome_trait_flag	immune_inflammation_trait_flag	infection_trait_flag	cancer_trait_flag	tissue_identity_trait_flag	complex_trait_evidence_status	disease_architecture_class	evidence_confidence	disease_annotation_version	disease_annotation_source	disease_annotation_source_url	disease_annotation_access_date	disease_annotation_notes
DOLPP1	ENSG00000167130	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	30	1	no	no	no	no	no	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 30 association(s), 11 mapped trait(s), categories metabolism, accessed 2026-06-03.
DHDDS	ENSG00000117682	substrate_biosynthesis	substrate_support	no	yes	overlapping_or_multiple_pathway_cdg_gene	DHDDS-CDG	curated_cdg_mendelian_evidence	AR	high	39	8	plp_variants_present	30	4	no	yes	no	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	overlapping or multiple pathway cdg gene; subtype DHDDS-CDG; mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 39 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 30 association(s), 15 mapped trait(s), categories cancer;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
NUS1	ENSG00000153989	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	81	8	plp_variants_present	32	1	no	no	no	no	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 81 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 32 association(s), 14 mapped trait(s), categories metabolism, accessed 2026-06-03.
SRD5A3	ENSG00000128039	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	SRD5A3-CDG (CDG-Iq)	curated_cdg_mendelian_evidence	AR	high	21	12	plp_variants_present	43	4	no	yes	no	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype SRD5A3-CDG (CDG-Iq); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 21 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 43 association(s), 20 mapped trait(s), categories cancer;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
MPDU1	ENSG00000129255	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	MPDU1-CDG (CDG-If)	curated_cdg_mendelian_evidence	AR	high	15	1	plp_variants_present	39	2	no	no	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype MPDU1-CDG (CDG-If); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 15 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 39 association(s), 19 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
PGM3	ENSG00000013375	substrate_biosynthesis	substrate_support	no	yes	overlapping_or_multiple_pathway_cdg_gene	PGM3-CDG	curated_cdg_mendelian_evidence	AR	high	69	5	plp_variants_present	2	1	no	no	no	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	overlapping or multiple pathway cdg gene; subtype PGM3-CDG; mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 69 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 2 association(s), 2 mapped trait(s), categories metabolism, accessed 2026-06-03.
UAP1	ENSG00000117143	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	16	4	no	yes	yes	yes	no	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 16 association(s), 15 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism, accessed 2026-06-03.
GFPT1	ENSG00000198380	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	45	8	plp_variants_present	29	5	no	yes	yes	yes	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 45 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 29 association(s), 23 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
GFPT2	ENSG00000131459	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	51	5	no	yes	yes	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 51 association(s), 26 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
GNPNAT1	ENSG00000100522	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	1	1	plp_variants_present	21	3	no	no	no	yes	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 1 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 21 association(s), 19 mapped trait(s), categories cancer;metabolism;tissue_identity, accessed 2026-06-03.
NAGK	ENSG00000124357	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	24	3	no	yes	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 24 association(s), 12 mapped trait(s), categories immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
GNE	ENSG00000159921	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	184	18	plp_variants_present	8	3	no	yes	yes	no	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 184 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 8 association(s), 12 mapped trait(s), categories immune_inflammation;infection;metabolism, accessed 2026-06-03.
NANS	ENSG00000095380	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	17	1	plp_variants_present	10	1	no	no	no	no	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 17 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 10 association(s), 8 mapped trait(s), categories metabolism, accessed 2026-06-03.
NANP	ENSG00000170191	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	5	3	no	no	no	yes	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 5 association(s), 7 mapped trait(s), categories cancer;metabolism;tissue_identity, accessed 2026-06-03.
