symbol	match_basis	direct_glycome_match	interface_match	reported_gene_match	mapped_gene_match	study_accession	pubmed_id	first_author	publication_date	disease_trait	mapped_trait	trait_categories	reported_genes	mapped_genes	p_value
ST6GAL1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001849	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	ST6GAL1	ST6GAL1	8e-07
ST6GAL1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	ST6GAL1	ST6GAL1	9e-07
ST6GAL1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	ST6GAL1	ST6GAL1	9e-07
ST6GAL1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	ST6GAL1	ST6GAL1	2e-06
ST6GAL1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	ST6GAL1	ST6GAL1	3e-06
ST6GAL1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	ST6GAL1	ST6GAL1	5e-06
ST6GAL1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	ST6GAL1	ST6GAL1	5e-06
ST6GAL1	mapped_gene	yes	no	no	yes	GCST90671969	40593539	Sharapov S	2025-07-01	N-glycosylation (multivariate analysis)	N-glycan measurement	glycome;immune_inflammation;tissue_identity		ST6GAL1	8e-249
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90470753	39789286	Loya H	2025-01-09	ST6GAL1 protein levels	beta-galactoside alpha-2,6-sialyltransferase 1 measurement	metabolism		ST6GAL1	5e-138
ST6GAL1	mapped_gene	yes	no	no	yes	GCST90668719	40593539	Sharapov S	2025-07-01	Percentage of monosialylation of core-fucosylated monogalactosylated structures without bisecting GlcNAc (GP41)	N-glycan measurement	glycome;immune_inflammation;tissue_identity		ST6GAL1	2e-133
