symbol	match_basis	direct_glycome_match	interface_match	reported_gene_match	mapped_gene_match	study_accession	pubmed_id	first_author	publication_date	disease_trait	mapped_trait	trait_categories	reported_genes	mapped_genes	p_value
B4GALNT2	reported_gene	no	no	yes	no	GCST010002	32231278	Hysi PG	2020-03-30	Refractive error	Abnormality of refraction		B4GALNT2, GNGT2, ABI3, PHOSPHO1, ZNF652, PHB	GNGT2	1e-44
B4GALNT2	reported_gene;mapped_gene	no	no	yes	yes	GCST90002394	32888494	Vuckovic D	2020-09-01	Monocyte percentage of white cells	monocyte percentage of leukocytes	immune_inflammation	B4GALNT2	B4GALNT2	4e-11
B4GALNT2	reported_gene;mapped_gene	no	no	yes	yes	GCST006291	29808027	Tedja MS	2018-05-28	Spherical equivalent or myopia (age of diagnosis)	refractive error, age at onset, Myopia		B4GALNT2, TRNA_Gln	B4GALNT2 - GNGT2	3e-10
B4GALNT2	reported_gene	no	yes	yes	no	GCST001942	23535732	Eeles RA	2013-04-01	Prostate cancer	prostate carcinoma	cancer	NGFR, PHB, PHOSPHO1, HOXB13, PRAC, SPOP, ZNF652, ABI3, B4GALNT2, FLJ40194, GNGT2, IGF2BP1	FLJ40194	2e-09
B4GALNT2	reported_gene;mapped_gene	no	no	yes	yes	GCST005194	29212778	van der Harst P	2017-12-06	Coronary artery disease	coronary artery disorder		B4GALNT2	B4GALNT2	4e-09
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90471009	39789286	Loya H	2025-01-09	UMOD protein levels	uromodulin measurement	metabolism		B4GALNT2	9e-237
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90471009	39789286	Loya H	2025-01-09	UMOD protein levels	uromodulin measurement	metabolism		B4GALNT2	7e-208
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		B4GALNT2	5e-143
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		B4GALNT2	2e-137
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90471009	39789286	Loya H	2025-01-09	UMOD protein levels	uromodulin measurement	metabolism		B4GALNT2	3e-94
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469141	39789286	Loya H	2025-01-09	ERBB4 protein levels	receptor tyrosine-protein kinase erbb-4 measurement	metabolism		B4GALNT2	7e-58
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470026	39789286	Loya H	2025-01-09	NELL1 protein levels	protein kinase C-binding protein NELL1 measurement	metabolism		B4GALNT2 - GNGT2	9.999999999999999e-57
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469141	39789286	Loya H	2025-01-09	ERBB4 protein levels	receptor tyrosine-protein kinase erbb-4 measurement	metabolism		B4GALNT2	3e-51
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470026	39789286	Loya H	2025-01-09	NELL1 protein levels	protein kinase C-binding protein NELL1 measurement	metabolism		B4GALNT2	3e-45
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468970	39789286	Loya H	2025-01-09	DDR1 protein levels	epithelial discoidin domain-containing receptor 1 measurement	metabolism;tissue_identity		B4GALNT2	2e-41
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468507	39789286	Loya H	2025-01-09	CA12 protein levels	level of carbonic anhydrase 12 in blood serum	metabolism		B4GALNT2 - GNGT2	2e-37
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469829	39789286	Loya H	2025-01-09	LYPD8 protein levels	level of Ly6/PLAUR domain-containing protein 8 in blood serum	metabolism		B4GALNT2	6e-35
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470026	39789286	Loya H	2025-01-09	NELL1 protein levels	protein kinase C-binding protein NELL1 measurement	metabolism		B4GALNT2	2.0000000000000003e-34
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90129631	35446786	Li Y	2022-04-21	Serum uromodulin levels (antibody-based assay)	uromodulin measurement	immune_inflammation		B4GALNT2	1.9999999999999998e-32
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		B4GALNT2P1 - B4GALNT2	1.0000000000000001e-28
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468970	39789286	Loya H	2025-01-09	DDR1 protein levels	epithelial discoidin domain-containing receptor 1 measurement	metabolism;tissue_identity		B4GALNT2	2e-27
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90129631	35446786	Li Y	2022-04-21	Serum uromodulin levels (antibody-based assay)	uromodulin measurement	immune_inflammation		B4GALNT2 - GNGT2	5e-24
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470798	39789286	Loya H	2025-01-09	TACSTD2 protein levels	tumor-associated calcium signal transducer 2 measurement	cancer;metabolism		B4GALNT2	1e-22
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90129631	35446786	Li Y	2022-04-21	Serum uromodulin levels (antibody-based assay)	uromodulin measurement	immune_inflammation		B4GALNT2	2e-22
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468515	39789286	Loya H	2025-01-09	CA6 protein levels	carbonic anhydrase 6 measurement	metabolism		B4GALNT2	3e-19
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468507	39789286	Loya H	2025-01-09	CA12 protein levels	level of carbonic anhydrase 12 in blood serum	metabolism		B4GALNT2	3e-17
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469829	39789286	Loya H	2025-01-09	LYPD8 protein levels	level of Ly6/PLAUR domain-containing protein 8 in blood serum	metabolism		B4GALNT2	3e-17
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90470558	39789286	Loya H	2025-01-09	SDC1 protein levels	level of syndecan-1 in blood	metabolism		B4GALNT2 - GNGT2	1e-16
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468696	39789286	Loya H	2025-01-09	CEACAM5 protein levels	level of carcinoembryonic antigen-related cell adhesion molecule 5 in blood	metabolism		B4GALNT2 - GNGT2	1e-15
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90468515	39789286	Loya H	2025-01-09	CA6 protein levels	carbonic anhydrase 6 measurement	metabolism		B4GALNT2	2e-14
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90471049	39789286	Loya H	2025-01-09	VSIG10L protein levels	level of V-set and immunoglobulin domain-containing protein 10-like in blood	immune_inflammation;metabolism		B4GALNT2	6e-14
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469019	39789286	Loya H	2025-01-09	DNER protein levels	delta and Notch-like epidermal growth factor-related receptor measurement	metabolism		B4GALNT2	4e-13
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90428117	38538606	Harris BHL	2024-03-27	Prostate cancer	prostate cancer	cancer		B4GALNT2P1 - B4GALNT2	6e-12
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90469828	39789286	Loya H	2025-01-09	LYPD3 protein levels	Ly6/PLAUR domain-containing protein 3 measurement	metabolism		B4GALNT2	1e-11
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90453139	39972214	Niu L	2025-02-19	UMOD protein levels	blood protein amount	metabolism		B4GALNT2 - GNGT2	1e-08
B4GALNT2	mapped_gene	no	yes	no	yes	GCST90129631	35446786	Li Y	2022-04-21	Serum uromodulin levels (antibody-based assay)	uromodulin measurement	immune_inflammation		B4GALNT2	4e-08
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST009860	32128391	Klaric L	2020-02-19	IgG N-glycosylation phenotypes (multivariate analysis)	serum IgG glycosylation measurement	glycome;immune_inflammation	B4GALT1	B4GALT1	9e-34
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST004929	28878392	Shen X	2017-09-06	IgG fucosylation phenotypes (multivariate analysis)	IgG fucosylation measurement	glycome;immune_inflammation	B4GALT1	B4GALT1	5e-13
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST008108	31163085	Sharapov SZ	2019-06-15	N-glycan levels	N-glycan measurement	glycome	B4GALT1	B4GALT1	3e-12
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	B4GALT1	B4GALT1	3e-11
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	B4GALT1	B4GALT1	3e-11
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	B4GALT1	B4GALT1	1e-10
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST004925	28878392	Shen X	2017-09-06	IgG N-glycosylation phenotypes (multivariate analysis)	serum IgG glycosylation measurement	glycome;immune_inflammation	B4GALT1	B4GALT1	1e-10
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	B4GALT1	B4GALT1	3e-10
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001849	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	B4GALT1	B4GALT1	5e-08
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST004927	28878392	Shen X	2017-09-06	IgG galactosylation phenotypes (multivariate analysis)	IgG galactosylation measurement	glycome;immune_inflammation	B4GALT1	B4GALT1	7e-08
B4GALT1	reported_gene;mapped_gene	yes	no	yes	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	B4GALT1	B4GALT1	5e-07
B4GALT1	mapped_gene	yes	yes	no	yes	GCST90468412	39789286	Loya H	2025-01-09	B4GALT1 protein levels	beta-1,4-galactosyltransferase 1 measurement	metabolism		B4GALT1	5e-203
B4GALT1	mapped_gene	yes	no	no	yes	GCST90246639	34648354	Pietzner M	2021-11-12	Beta-1,4-galactosyltransferase 1 levels	beta-1,4-galactosyltransferase 1 measurement			B4GALT1	2e-80
B4GALT1	mapped_gene	yes	no	no	yes	GCST90671969	40593539	Sharapov S	2025-07-01	N-glycosylation (multivariate analysis)	N-glycan measurement	glycome;immune_inflammation;tissue_identity		B4GALT1	3e-65
B4GALT1	mapped_gene	yes	no	no	yes	GCST90668745	40593539	Sharapov S	2025-07-01	Percentage of FA2G2 in total neutral plasma glycans (GPn) (GP67)	N-glycan measurement	glycome;immune_inflammation;tissue_identity		B4GALT1	2e-36
B4GALT1	mapped_gene	yes	no	no	yes	GCST90668511	40593539	Sharapov S	2025-07-01	Percentage of FA2G2 in total neutral plasma glycans (GPn) (GP67)	N-glycan measurement	glycome;immune_inflammation;tissue_identity		B4GALT1	2.0000000000000003e-34
B4GALT1	mapped_gene	yes	yes	no	yes	GCST90468411	39789286	Loya H	2025-01-09	B3GNT7 protein levels	level of UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 in blood	metabolism		B4GALT1	2e-31
B4GALT1	mapped_gene	yes	no	no	yes	GCST90240400	29875488	Sun BB	2018-06-06	Beta-1,4-galactosyltransferase 1 levels (B4GALT1.13381.49.3)	beta-1,4-galactosyltransferase 1 measurement			B4GALT1	8.000000000000001e-29
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-20
B4GALT1	mapped_gene	yes	yes	no	yes	GCST90468412	39789286	Loya H	2025-01-09	B4GALT1 protein levels	beta-1,4-galactosyltransferase 1 measurement	metabolism		B4GALT1-AS1 - SPINK4	4e-20
B4GALT1	mapped_gene	yes	yes	no	yes	GCST90469843	39789286	Loya H	2025-01-09	MAN1A2 protein levels	mannosyl-oligosaccharide 1,2-alpha-mannosidase IB measurement	metabolism		B4GALT1	3e-17
B4GALT1	mapped_gene	yes	no	no	yes	GCST90668745	40593539	Sharapov S	2025-07-01	Percentage of FA2G2 in total neutral plasma glycans (GPn) (GP67)	N-glycan measurement	glycome;immune_inflammation;tissue_identity		B4GALT1-AS1 - SPINK4	1e-16
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	4e-16
B4GALT1	mapped_gene	yes	yes	no	yes	GCST90468412	39789286	Loya H	2025-01-09	B4GALT1 protein levels	beta-1,4-galactosyltransferase 1 measurement	metabolism		B4GALT1	3e-15
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	8e-15
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	1e-14
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	4e-14
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	4e-14
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	5e-14
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	8e-14
B4GALT1	mapped_gene	yes	yes	no	yes	GCST90468412	39789286	Loya H	2025-01-09	B4GALT1 protein levels	beta-1,4-galactosyltransferase 1 measurement	metabolism		B4GALT1	1e-13
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	2e-12
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	5e-11
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	9e-11
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	1e-10
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1-AS1	2e-10
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-10
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	5e-10
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1-AS1	6e-10
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1-AS1	8e-10
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	9e-10
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	1e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1-AS1	1e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	1e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1-AS1	1e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	1e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	2e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	3e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	5e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	8e-09
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-08
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-08
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-08
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-08
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	5e-08
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	7e-08
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	1e-07
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	2e-07
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	3e-07
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	4e-07
B4GALT1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	B4GALT1	4e-07
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	1e-06
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	2e-06
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	3e-06
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	7e-06
B4GALT1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	B4GALT1	7e-06
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST90011899	33547301	Chen VL	2021-02-05	Aspartate aminotransferase levels	aspartate aminotransferase measurement	metabolism;tissue_identity	SMU1, B4GALT1	B4GALT1	8e-33
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST008972	31578528	Tin A	2019-10-02	Urate levels	urate measurement		B4GALT1	B4GALT1	5e-20
B4GALT1	reported_gene	no	yes	yes	no	GCST003125	26379185	Garcia-Etxebarria K	2015-09-17	Influenza A (H1N1) infection	influenza A (H1N1)	infection	SPINK4, B4GALT1	SPINK4	1e-14
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST008971	31578528	Tin A	2019-10-02	Urate levels	urate measurement		B4GALT1	B4GALT1	4e-14
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST005999	29403010	Kanai M	2018-02-05	Aspartate aminotransferase levels	aspartate aminotransferase measurement		B4GALT1	B4GALT1	6e-14
B4GALT1	reported_gene	no	yes	yes	no	GCST003124	26379185	Garcia-Etxebarria K	2015-09-17	Mild influenza (H1N1) infection	influenza A (H1N1)	infection	SPINK4, B4GALT1	SPINK4	1e-13
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST011351	33339817	Nielsen JB	2020-12-18	Aspartate aminotransferase levels	aspartate aminotransferase measurement		B4GALT1	B4GALT1	1e-13
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST011369	33536631	Bell S	2021-02-03	Iron status biomarkers (ferritin levels)	ferritin measurement		B4GALT1	B4GALT1	1e-11
B4GALT1	reported_gene	no	yes	yes	no	GCST003123	26379185	Garcia-Etxebarria K	2015-09-17	Severe influenza A (H1N1) infection	influenza A (H1N1)	infection	SPINK4, B4GALT1	SPINK4	9e-11
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST90002383	32888494	Vuckovic D	2020-09-01	Hematocrit	hematocrit		B4GALT1	B4GALT1	1e-10
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST90002384	32888494	Vuckovic D	2020-09-01	Hemoglobin	hemoglobin measurement		B4GALT1	B4GALT1	1e-10
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST90002403	32888494	Vuckovic D	2020-09-01	Red blood cell count	erythrocyte count		B4GALT1	B4GALT1	2e-10
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST008058	31152163	Wuttke M	2019-05-31	Estimated glomerular filtration rate	glomerular filtration rate	tissue_identity	B4GALT1-AS1	B4GALT1-AS1	2e-09
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST010637	31985003	Boocock J	2020-01-27	Urate levels	urate measurement		B4GALT1	B4GALT1-AS1	2e-09
B4GALT1	reported_gene;mapped_gene	no	yes	yes	yes	GCST006585	30072576	Emilsson V	2018-08-02	Blood protein levels	blood protein amount	metabolism;tissue_identity	B4GALT1	B4GALT1	6e-08
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST001791	23263486	Kottgen A	2012-12-23	Urate levels	urate measurement		B4GALT1	B4GALT1-AS1	4e-07
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST007733	30993211	Nakatochi M	2019-04-08	Serum uric acid levels	uric acid measurement		B4GALT1	B4GALT1	4e-07
B4GALT1	reported_gene;mapped_gene	no	no	yes	yes	GCST007733	30993211	Nakatochi M	2019-04-08	Serum uric acid levels	uric acid measurement		B4GALT1	B4GALT1	7e-06
B4GALT1	mapped_gene	no	yes	no	yes	GCST90469832	39789286	Loya H	2025-01-09	LYVE1 protein levels	lymphatic vessel endothelial hyaluronic acid receptor 1 level	metabolism		B4GALT1	9e-79
B4GALT1	mapped_gene	no	yes	no	yes	GCST90470637	39789286	Loya H	2025-01-09	SIGLEC9 protein levels	sialic acid-binding Ig-like lectin 9 amount	metabolism		B4GALT1	3e-59
B4GALT1	mapped_gene	no	yes	no	yes	GCST90469638	39789286	Loya H	2025-01-09	ITGAM protein levels	level of integrin alpha-M in blood	metabolism		B4GALT1	2e-55
B4GALT1	mapped_gene	no	yes	no	yes	GCST90468600	39789286	Loya H	2025-01-09	CD163 protein levels	scavenger receptor cysteine-rich type 1 protein m130 measurement	metabolism		B4GALT1	2e-52
B4GALT1	mapped_gene	no	yes	no	yes	GCST90315010	38412862	Suhre K	2024-02-20	GZMA/ITGB7 protein level ratio	GZMA/ITGB7 protein level ratio in blood	metabolism		B4GALT1	6e-51
B4GALT1	mapped_gene	no	yes	no	yes	GCST90470314	39789286	Loya H	2025-01-09	PRCP protein levels	lysosomal Pro-X carboxypeptidase measurement	metabolism		B4GALT1	2e-48
B4GALT1	mapped_gene	no	yes	no	yes	GCST90314275	38412862	Suhre K	2024-02-20	CRTAM/GZMA protein level ratio	CRTAM/GZMA protein level ratio in blood	metabolism		B4GALT1	2e-46
B4GALT1	mapped_gene	no	yes	no	yes	GCST90469644	39789286	Loya H	2025-01-09	ITGB2 protein levels	level of integrin beta-2 in blood	metabolism		B4GALT1	2.0000000000000003e-45
B4GALT1	mapped_gene	no	yes	no	yes	GCST90315661	38412862	Suhre K	2024-02-20	PLA2G15/PRCP protein level ratio	PLA2G15/PRCP protein level ratio in blood	metabolism		B4GALT1	3e-43
B4GALT1	mapped_gene	no	yes	no	yes	GCST90470893	39789286	Loya H	2025-01-09	TMPRSS5 protein levels	transmembrane protease serine 5 measurement	metabolism		B4GALT1	5e-42
B4GALT1	mapped_gene	no	yes	no	yes	GCST90468880	39789286	Loya H	2025-01-09	CSF1R protein levels	macrophage colony-stimulating factor 1 receptor level	metabolism;tissue_identity		B4GALT1	2e-41
B4GALT1	mapped_gene	no	yes	no	yes	GCST90468413	39789286	Loya H	2025-01-09	B4GAT1 protein levels	beta-1,4-glucuronyltransferase 1 measurement	metabolism		B4GALT1	2e-40
B4GALT1	mapped_gene	no	yes	no	yes	GCST90469260	39789286	Loya H	2025-01-09	FOLR2 protein levels	level of folate receptor beta in blood	metabolism		B4GALT1	2e-40
B4GALT1	mapped_gene	no	yes	no	yes	GCST90470723	39789286	Loya H	2025-01-09	SPINK4 protein levels	level of serine protease inhibitor Kazal-type 4 in blood	metabolism		B4GALT1-AS1 - SPINK4	2.9999999999999998e-40
