symbol	gwas_association_count	gwas_study_count	gwas_pubmed_count	gwas_trait_category_count	gwas_mapped_trait_count	gwas_min_p_value	gwas_trait_categories	gwas_mapped_trait_examples	gwas_catalog_release	gwas_catalog_source_url	gwas_catalog_access_date
ALG6	5	5	5	1	5	4e-16	metabolism	aging; blood protein amount; mean corpuscular hemoglobin; mean reticulocyte volume; tea consumption measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG8	9	7	7	2	7	7e-15	infection;metabolism	Tourette syndrome; body mass index; bone tissue density; level of Mth938 domain-containing protein in blood; major depressive disorder; susceptibility to common cold measurement; urate measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ALG9	64	55	31	5	40	2e-123	cancer;immune_inflammation;infection;metabolism;tissue_identity	BMI-adjusted waist circumference; BMI-adjusted waist-hip ratio; GFRA3/LAYN protein level ratio in blood; Thyroid stimulating hormone level; allergic disease; asthma; autoimmune thyroid disease; body shape measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
B4GALNT2	65	45	23	4	41	9e-237	cancer;immune_inflammation;metabolism;tissue_identity	Abnormality of refraction; Agents acting on the renin-angiotensin system use measurement; Alzheimer disease; BMI-adjusted waist circumference; Calcium channel blocker use measurement; HEPACAM family member 2 measurement; HMG CoA reductase inhibitor use measurement; Ly6/PLAUR domain-containing protein 3 measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
B4GALT1	216	163	56	6	100	5e-203	cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity	2-alpha-mannosidase IB measurement; 3-N-acetylglucosaminyltransferase 7 in blood; 4-galactosyltransferase 1 measurement; 4-glucuronyltransferase 1 measurement; CD163/IL18BP protein level ratio in blood; CD22/FCRL1 protein level ratio in blood; CD22/FOLR2 protein level ratio in blood; CRTAM/GZMA protein level ratio in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
B4GALT2	7	7	7	2	8	5e-138	metabolism;tissue_identity	4-galactosyltransferase 2 measurement; autism spectrum disorder; beta-1; blood protein amount; intelligence; protein measurement; schizophrenia; smoking initiation	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
B4GALT3	2	2	2	2	2	5e-15	immune_inflammation;metabolism	asthma; nectin-4 measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
B4GALT4	19	18	17	4	21	8e-33	cancer;immune_inflammation;metabolism;tissue_identity	Ischemic stroke; brain attribute; cerebral cortex area attribute; chronic obstructive pulmonary disease; cytotoxicity measurement; environmental exposure measurement; exocrine pancreatic carcinoma; forced expiratory volume	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
B4GALT5	17	15	13	4	13	1e-300	immune_inflammation;infection;metabolism;tissue_identity	COVID-19; alcohol consumption quality; body height; body mass index; bone tissue density; brain attribute; diastolic blood pressure; fatty acid amount	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
B4GALT6	21	20	18	3	19	9e-231	immune_inflammation;metabolism;tissue_identity	4-galactosyltransferase 6 measurement; BMI-adjusted fasting blood insulin measurement; HOMA-B; TNF-related apoptosis-inducing ligand measurement; alcohol use disorder measurement; amyotrophic lateral sclerosis; beta-1; blood protein amount	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
CALR	17	17	10	2	14	2e-49	metabolism;tissue_identity	Drug-induced agranulocytosis; HDL particle size; Stuttering; blood protein amount; diabetes mellitus; free cholesterol in large HDL measurement; glomerular filtration rate; level of beta-glucuronidase in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
CANX	29	28	14	2	15	2e-32	immune_inflammation;tissue_identity	Alzheimer disease; blood protein amount; daytime rest measurement; diastolic blood pressure; family history of Alzheimer’s disease; female genital tract polyp; heart rate; leukocyte quantity	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
CHST10	16	16	13	3	15	6e-16	immune_inflammation;metabolism;tissue_identity	Alzheimer disease; HDL particle size; body mass index; breastfeeding duration; cognitive function measurement; educational attainment; free cholesterol in large HDL measurement; gut microbiome measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
CHST8	29	29	24	4	23	4e-28	cancer;immune_inflammation;metabolism;tissue_identity	atopic eczema; beta-nerve growth factor  level; body mass index; body shape measurement; body weight; bone tissue density; corpus callosum volume; cystatin C measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
CMAS	11	11	9	4	11	4e-26	immune_inflammation;infection;metabolism;tissue_identity	COVID-19; Cleft palate; blood protein amount; body height; cleft lip; cortical thickness; environmental exposure measurement; epilepsy	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DAD1	8	8	7	3	10	3e-21	immune_inflammation;metabolism;tissue_identity	Crohn disease; Moderate albuminuria; breastfeeding duration; diastolic blood pressure; disease progression measurement; free cholesterol measurement; gut microbiome measurement; handedness	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DDOST	5	5	5	2	6	7e-35	metabolism;tissue_identity	body height; cytidine measurement; microglial activation attribute; ocular hypertension; t-tau measurement; trait in response to triamcinolone acetonide	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DHDDS	30	27	17	4	15	1e-300	cancer;immune_inflammation;metabolism;tissue_identity	Alzheimer disease; IGF-1 measurement; acute myeloid leukemia; alkaline phosphatase measurement; body height; body shape measurement; bone tissue density; eosinophil count	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DOLK	3	3	3	2	3	0.0	metabolism;tissue_identity	2'-O-methylcytidine measurement; cerebrospinal fluid composition attribute; nucleotide measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DOLPP1	30	16	12	1	11	4e-83	metabolism	PHF-tau measurement; Red cell distribution width; blood metabolite level; daytime rest measurement; diet measurement; erythrocyte count; hemoglobin measurement; neurofibrillary tangles measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DPAGT1	27	27	11	3	16	2e-81	immune_inflammation;metabolism;tissue_identity	HbA1c measurement; body height; body mass index; erythrocyte volume; glomerular filtration rate; heel bone mineral density; level of hypoxia up-regulated protein 1 in blood; level of phospholipid transfer protein C2CD2L in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DPM1	13	13	7	2	7	6e-28	cancer;metabolism	bipolar I disorder; bipolar disorder; body height; prostate carcinoma; protein measurement; sex hormone-binding globulin measurement; smoking initiation	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DPM2	4	3	3	0	3	8e-12		body mass index; hematological measurement; primary angle-closure glaucoma	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
DPM3	34	23	13	4	16	8e-35	cancer;immune_inflammation;metabolism;tissue_identity	BMI-adjusted waist-hip ratio; Crohn disease; body fat distribution; brain attribute; brain volume; cerebral cortex area attribute; cortical thickness; electrocardiography	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
EDEM1	17	16	12	3	13	5e-15	immune_inflammation;metabolism;tissue_identity	Alzheimer disease; PHF-tau measurement; alkaline phosphatase measurement; breastfeeding duration; diverticular disease; environmental exposure measurement; gut microbiome measurement; level of tectonic-3 in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
EDEM2	125	97	45	4	71	1e-300	cancer;immune_inflammation;metabolism;tissue_identity	25-hydroxyvitamin D3 measurement; BMI-adjusted hip circumference; BMI-adjusted waist circumference; BMI-adjusted waist-hip ratio; Pulmonary Infarction; QRS amplitude; QRS complex; Thromboembolism	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
EDEM3	115	109	44	5	64	1e-78	cancer;glycome;immune_inflammation;metabolism;tissue_identity	BMI-adjusted waist circumference; CMRF35-like molecule 2 measurement; HSD11B1/SMPD1 protein level ratio in blood; X-12063 measurement; alkaline phosphatase measurement; aortic stenosis; asialoglycoprotein receptor 2 measurement; aspartate aminotransferase measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ENGASE	7	5	5	2	4	0.0	metabolism;tissue_identity	bone tissue density; protein measurement; retinal drusen; tubulointerstitial nephritis antigen-like measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
FCSK	19	18	14	4	17	7e-41	cancer;glycome;metabolism;tissue_identity	C-C motif chemokine 2 level; IGFBP-3 measurement; aorta size trait; blood protein amount; body height; body mass index; cholesteryl esters:total lipids ratio; diastolic blood pressure	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
FPGT	121	102	69	3	53	3e-84	cancer;immune_inflammation;metabolism	Abnormality of the skeletal system; PHF-tau measurement; Uterine leiomyoma; age at assessment; age at first sexual intercourse measurement; age at menarche; atrial fibrillation; attention deficit-hyperactivity disorder	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
FUT3	176	122	42	5	76	0.0	cancer;glycome;immune_inflammation;metabolism;tissue_identity	3)-fucosyltransferase 5 measurement; C-C motif chemokine 15 level; CUB and zona pellucida-like domain-containing protein 1 measurement; E-selectin amount; Kunitz-type protease inhibitor 1 measurement; Ly6/PLAUR domain-containing protein 3 measurement; N-glycan measurement; Red cell distribution width	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
